Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.8,-33.080231,2.583014,-28.766754,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:07.9,-32.323364,0.411177,-29.653885,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.0,-32.520905,-0.265926,-30.378479,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.1,-31.658447,-0.137232,-30.151047,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.2,-31.582367,0.817883,-31.182129,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.3,-31.808533,1.387598,-31.240143,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.4,-32.989197,1.662399,-30.633865,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.5,-31.744629,2.013321,-31.742645,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.6,-32.714752,2.110573,-31.513306,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.7,-32.680908,0.489061,-31.570892,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.8,-33.513885,-1.543129,-30.628494,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:08.9,-34.240173,-3.845778,-29.572937,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,36:09.0,-35.063263,-4.499432,-28.801025,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.1,-38.383667,10.529438,-26.538773,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.2,-37.689758,10.993476,-26.556183,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.3,-37.012024,11.574259,-27.300537,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.4,-36.925446,11.867625,-27.483643,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.5,-35.717651,12.729045,-27.749435,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.6,-35.025299,13.423469,-28.71228,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.7,-33.525391,14.45606,-28.654373,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.8,-33.553528,15.054814,-27.944672,
wf1-2_E_meg,"""walk forward from point 1 to point 2: walk east""",1,37:06.9,-32.517517,15.110628,-28.18988,
