Uid,Activity,"state (0:stop, 1:move)",Timestamp,X,Y,Z,,,
stop1_ori,"""stop on point 1""",0,48:25.1,-90.007261,-7.507256,0.840388,,,
stop1_ori,"""stop on point 1""",0,48:25.2,-89.997289,-7.505762,0.865727,,,
stop1_ori,"""stop on point 1""",0,48:25.3,-89.962674,-7.522881,0.881981,,,
stop1_ori,"""stop on point 1""",0,48:25.4,-89.927939,-7.531393,0.907786,,,
stop1_ori,"""stop on point 1""",0,48:25.5,-89.929144,-7.511532,0.9491,,,
stop1_ori,"""stop on point 1""",0,48:25.6,-89.908278,-7.543527,0.921654,,,
stop1_ori,"""stop on point 1""",0,48:25.7,-89.964177,-7.507914,0.933769,,,
stop1_ori,"""stop on point 1""",0,48:25.8,-89.986103,-7.532932,0.889356,,,
stop1_ori,"""stop on point 1""",0,48:25.9,-90.029858,-7.538548,0.885906,,,
stop1_ori,"""stop on point 1""",0,48:26.0,-90.042067,-7.57092,0.856683,,,
stop1_ori,"""stop on point 1""",0,48:26.1,-89.972581,-7.573707,0.85918,,,
stop1_ori,"""stop on point 1""",0,48:26.2,-89.995825,-7.545158,0.861675,,,
stop1_ori,"""stop on point 1""",0,48:26.3,-89.963227,-7.546075,0.868915,,,
stop1_ori,"""stop on point 1""",0,48:26.4,-89.996596,-7.594106,0.856964,,,
stop1_ori,"""stop on point 1""",0,48:26.5,-90.030669,-7.597659,0.870555,,,
stop1_ori,"""stop on point 1""",0,48:26.6,-90.039614,-7.626815,0.868209,,,
stop1_ori,"""stop on point 1""",0,48:36.8,-89.973384,-7.651858,0.397997,,,
stop1_ori,"""stop on point 1""",0,48:36.9,-89.907289,-7.674624,0.386185,,,
stop1_ori,"""stop on point 1""",0,48:37.0,-89.914317,-7.635169,0.393658,,,
stop1_ori,"""stop on point 1""",0,48:37.1,-89.93298,-7.599323,0.394093,,,
stop1_ori,"""stop on point 1""",0,48:37.2,-89.938527,-7.545325,0.433973,,,
stop1_ori,"""stop on point 1""",0,48:37.3,-89.928535,-7.524146,0.472808,,,
stop1_ori,"""stop on point 1""",0,48:37.4,-89.938713,-7.505836,0.492657,,,
stop1_ori,"""stop on point 1""",0,48:37.5,-89.98828,-7.568254,0.529794,,,
stop1_ori,"""stop on point 1""",0,48:37.6,-90.005525,-7.552268,0.538656,,,
stop1_ori,"""stop on point 1""",0,48:37.7,-89.987772,-7.51173,0.548622,,,
stop1_ori,"""stop on point 1""",0,48:37.8,-89.929629,-7.523862,0.508713,,,
stop1_ori,"""stop on point 1""",0,48:37.9,-89.895625,-7.523888,0.524753,,,
stop1_ori,"""stop on point 1""",0,48:38.0,-89.884228,-7.578019,0.54309,,,
stop1_ori,"""stop on point 1""",0,48:38.1,-89.92885,-7.575253,0.528767,,,
stop1_ori,"""stop on point 1""",0,48:38.2,-89.978109,-7.511298,0.538935,,,
stop1_ori,"""stop on point 1""",0,48:38.3,-89.966989,-7.47615,0.533242,,,
stop1_ori,"""stop on point 1""",0,48:38.4,-90.022723,-7.450205,0.519504,,,
stop1_ori,"""stop on point 1""",0,48:38.5,-90.023787,-7.481835,0.526206,,,
stop1_ori,"""stop on point 1""",0,48:38.6,-90.023242,-7.504359,0.562386,,,
stop1_ori,"""stop on point 1""",0,48:38.7,-89.986603,-7.50268,0.554485,,,
stop1_ori,"""stop on point 1""",0,48:38.8,-89.964011,-7.486875,0.526112,,,
stop1_ori,"""stop on point 1""",0,48:38.9,-89.981831,-7.471527,0.49412,,,
stop1_ori,"""stop on point 1""",0,48:39.0,-89.986994,-7.51852,0.483501,,,
stop1_ori,"""stop on point 1""",0,48:39.1,-90.056295,-7.511487,0.47349,,,
stop1_ori,"""stop on point 1""",0,48:39.2,-90.095778,-7.493938,0.445563,,,
stop1_ori,"""stop on point 1""",0,48:39.3,-90.05917,-7.510601,0.446292,,,
stop1_ori,"""stop on point 1""",0,48:39.4,-90.100962,-7.463474,0.464207,,,
stop1_ori,"""stop on point 1""",0,48:39.5,-90.058076,-7.478998,0.449662,,,
stop1_ori,"""stop on point 1""",0,48:39.6,-90.080176,-7.532004,0.422883,,,
stop1_ori,"""stop on point 1""",0,48:39.7,-90.142071,-7.51979,0.448237,,,
stop1_ori,"""stop on point 1""",0,48:39.8,-90.148003,-7.494325,0.43156,,,
stop1_ori,"""stop on point 1""",0,48:39.9,-90.116987,-7.488485,0.421362,,,
stop1_ori,"""stop on point 1""",0,48:40.0,-90.138698,-7.488931,0.412825,,,
stop1_ori,"""stop on point 1""",0,48:40.1,-90.142105,-7.534657,0.423581,,,
stop1_ori,"""stop on point 1""",0,48:40.2,-90.115434,-7.57441,0.404858,,,
stop1_ori,"""stop on point 1""",0,48:40.3,-90.097197,-7.594859,0.413124,,,
stop1_ori,"""stop on point 1""",0,48:40.4,-90.107594,-7.571193,0.410839,,,
stop1_ori,"""stop on point 1""",0,48:40.5,-90.030618,-7.622601,0.386547,,,
stop1_ori,"""stop on point 1""",0,48:40.6,-90.057234,-7.632429,0.413764,,,
stop1_ori,"""stop on point 1""",0,48:40.7,-90.08809,-7.642421,0.452312,,,
stop1_ori,"""stop on point 1""",0,48:40.8,-90.09913,-7.6462,0.459402,,,
stop1_ori,"""stop on point 1""",0,48:40.9,-90.109974,-7.623969,0.464108,,,
stop1_ori,"""stop on point 1""",0,48:41.0,-90.090849,-7.632525,0.423428,,,
stop1_ori,"""stop on point 1""",0,48:41.1,-90.127174,-7.622146,0.436742,,,
stop1_ori,"""stop on point 1""",0,48:41.2,-90.153667,-7.608487,0.430233,,,
stop1_ori,"""stop on point 1""",0,48:41.3,-90.122343,-7.591101,0.455809,,,
stop1_ori,"""stop on point 1""",0,48:41.4,-90.157379,-7.520681,0.472055,,,
stop1_ori,"""stop on point 1""",0,48:41.5,-90.088899,-7.582421,0.426797,,,
stop1_ori,"""stop on point 1""",0,48:41.6,-90.117031,-7.595301,0.421103,,,
stop1_ori,"""stop on point 1""",0,48:41.7,-90.129629,-7.590326,0.470312,,,
stop1_ori,"""stop on point 1""",0,48:41.9,-90.159467,-7.584768,0.473048,,,
